,SWC Run Length,# Splits,# Merges,% Split Edges,% Omit Edges,% Merged Edges,ERL,Normalized ERL,Edge Accuracy,Split Rate,Merge Rate
00001,1017.2328071351137,4.0,0,0.0,6.701708278580814,0.0,641.54,0.6307,93.3,186.07,
00002,1479.0820732642446,13.0,0,0.0,63.80424746075715,0.0,52.0,0.0352,36.2,32.06,
00003,213.19192692812427,0.0,0,0.0,0.0,0.0,182.43,0.8557,100.0,,
00004,1919.219706923539,4.0,0,0.0,42.79630943931866,40.951029098651524,44.62,0.0232,16.25,227.9,
00005,138.71417891132174,1.0,0,0.0,7.0588235294117645,0.0,59.72,0.4305,92.94,104.07,
00006,1315.560037129401,13.0,0,0.09615384615384616,7.211538461538462,11.634615384615385,88.86,0.0675,81.06,72.35,
00007,8053.432652436802,4.0,5,0.03363605785401951,0.016818028927009756,97.88092835519677,0.86,0.0001,2.07,1628.25,1302.6
00008,3690.859747589475,26.0,1,0.03658982802780827,18.18514452982071,0.0,469.92,0.1273,81.78,91.1,2368.59
00009,761.8122899784305,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00010,226.30755931491248,3.0,0,0.6060606060606061,23.03030303030303,0.0,43.2,0.1909,76.36,45.06,
00011,994.6369121495798,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00012,5190.822285707038,33.0,2,0.025746652935118436,28.861997940267766,15.164778578784757,343.94,0.0663,55.95,86.32,1424.21
00013,1113.5249605286042,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00014,1331.8250161532821,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00015,202.19933166467385,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00017,791.1212084214438,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00018,1024.31851515145,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,,
Neuron 10,166.27083115000642,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
